district,unit,latitude,longitude,total_crimes
Mandya,K.R. Sagar PS,12.43238,76.57715,87
Mandya,Maddur Traffic PS,12.588,77.04355,87
Uttara Kannada,UK CEN Crime PS,14.74452,74.37135,87
Chamarajanagar,Mambali PS,12.12399,77.05297,86
Mandya,Mandya West PS,12.43918,76.86386,86
Mangaluru City,CEN Crime PS Mangaluru City,12.9193,74.85894,86
Mysuru Dist,Nanjanagudu Town PS,12.11892,76.32194,85
Mysuru Dist,Saragur PS,12.00989,76.39727,85
Bengaluru City,Mahadevapura Traffic PS,12.99113,77.69583,84
Mysuru Dist,Antharasanthe PS,12.05337,76.30653,83
Bagalkot,Bagalkot CEN Crime PS,16.22535,75.5516,81
Bengaluru City,Bellanduru Traffic PS,12.91576,77.6742,81
Hassan,Hirisave PS,12.94801,76.54158,81
Vijayanagara,Hampi Tourism PS,15.30985,76.44882,81
Vijayanagara,Chittavadagi PS,15.23733,76.34886,80
Bengaluru City,Jnanabharathi Traffic PS,12.95738,77.50063,76
Kalaburagi,Shahabad Town PS,17.13703,76.94162,76
Vijayanagara,Hospet Town PS,15.25394,76.36599,76
Bengaluru City,Hennur Traffic PS,13.0572,77.63902,75
Ballari,Choranuru PS,14.95819,76.51773,74
Karnataka Railways,Ballari Rly PS,15.17709,76.72809,74
Karnataka Railways,Bidar Rly PS,17.94978,77.39164,74
Bengaluru City,Cubbonpark Traffic PS,12.97523,77.59703,72
Shivamogga,Shivamogga CEN Crime PS,13.89052,75.57225,72
Hassan,Belur PS,13.14228,75.68305,71
Mandya,Melukote PS,12.64089,76.64284,71
Uttara Kannada,Kadra PS,14.90667,74.31662,71
Hassan,Yeslur PS,12.76294,75.81097,70
Ballari,P.D. Halli PS,15.1386,77.079,69
Ballari,APMC Yard PS,15.09802,76.92262,67
Kalaburagi,Malkhed PS,17.1862,77.17218,67
Yadgir,Narayanapura PS,16.31017,76.37435,67
Chikkamagaluru,Hariharapura PS,13.53877,75.27375,66
Mandya,Kesthur PS,12.69087,77.05047,66
Ballari,Hatcholli PS,15.75699,76.9876,63
Mandya,Kirugavalu PS,12.34954,76.93408,62
Mysuru Dist,Talakadu PS,12.19686,77.03064,62
K.G.F,Champion Reefs  PS,12.94373,78.26612,61
Mandya,Nagamangala Rural PS,12.76494,76.7506,61
Chamarajanagar,Chamrajanagar Women ps,11.94709,76.95746,60
Karnataka Railways,Byappanahalli Rly PS,13.01715,77.64908,60
Vijayanagara,Kamalapur PS,15.30905,76.48369,60
Raichur,Raichur CEN Crime PS,16.16485,77.15087,59
Kolar,Kolar Traffic PS,13.1261,78.0609,58
Gadag,Gadag Women PS,15.42516,75.62247,57
Mandya,Shivalli PS,12.58869,76.81721,57
Kalaburagi,Nimbarga PS,17.36094,76.52366,56
Chamarajanagar,Chamarajanagar CEN Crime PS,11.9256,76.93105,55
Karnataka Railways,Davanagere Rly PS,14.37262,76.01255,54
Ballari,Ballari CEN Crime PS,15.12536,76.68898,53
Mandya,Malavalli Town PS,12.22449,75.90674,53
Kalaburagi,Madanahipparga PS,17.47024,76.39664,52
Kalaburagi,Madbool PS,17.26962,77.02816,51
Hassan,Hassan CEN Crime PS,12.99386,76.17021,49
Vijayanagara,Hospet Traffic PS,15.26526,76.39576,49
Chitradurga,Chitradurga CEN Crime PS,14.17574,76.443,48
Mandya,Basaralu PS,12.7005,76.83615,48
Mandya,Belakavadi PS,12.26804,77.10408,48
Uttara Kannada,Ambikanagar  PS,15.14426,74.67236,48
Vijayapur,Alamatti PS,16.34272,75.89856,48
Haveri,Hulagur PS,15.07451,75.28283,47
K.G.F,Marikuppam  PS,12.91012,78.2824,47
Kolar,Gownapalli PS,13.47215,77.24696,47
Ramanagara,Ramanagara Town PS,12.721,77.28392,47
Bidar,Bidar CEN Crime PS,17.94386,77.40916,46
K.G.F,Kyasamballi PS,12.94725,78.36395,44
Vijayanagara,Gudekote PS,14.82023,76.59474,43
Bengaluru City,Chickpet PS,12.96113,77.57144,42
Raichur,Devadurga Traffic PS,16.4262,76.93131,40
Vijayanagara,T.B. Dam PS,15.26439,76.35689,40
Koppal,Koppal CEN Crime PS,15.44339,76.25815,38
Ramanagara,Kanakapura Traffic PS,12.55597,77.42101,37
Karnataka Railways,Bangarpet Rly PS,13.00021,78.14797,36
Bengaluru City,Cyber Crime Police Station,12.92889,77.57645,35
Karnataka Railways,Mangaluru Rly PS,12.85186,74.89175,34
Mandya,Besagaraghalli PS,12.62818,76.90287,34
Kalaburagi,Kalagi PS,17.38511,77.12853,33
Karnataka Railways,Shivamogga Rly PS,13.91925,75.57083,33
Ramanagara,Ramanagara CEN Crime PS,12.75734,77.34125,30
Vijayanagara,Hospet Extention PS,15.14853,76.36838,28
Bengaluru City,Victoria Hospital PS,12.96216,77.57353,27
Coastal Security Police,Coastal Security Police Mangaluru,12.62173,74.49747,27
Vijayanagara,T.B. Halli PS,15.11197,76.0964,26
Coastal Security Police,Coastal Security Police Karwar,14.80728,74.15219,25
Hubballi Dharwad City,E and N Crime PS HD city,15.37364,75.11074,25
Mandya,Mandya CEN Crime PS,12.51838,76.91047,25
Dakshina Kannada,DK CEN Crime PS,12.83922,75.00667,24
Kodagu,Kodagu CEN Crime PS,12.30091,75.52125,24
Kalaburagi,Kurakunta PS,17.19148,77.34585,19
Mandya,Koppa PS,12.755,76.94011,18
Kalaburagi,Kalaburagi Women PS,17.31819,76.83144,17
Kalaburagi,Kunchavaram PS,17.50338,77.37685,17
Bengaluru City,Chickabanavara Traffic PS,13.11699,77.50245,16
Chikkamagaluru,Kuduremukh PS,13.19131,75.26212,13
Belagavi Dist,Belagavi Women PS,15.66897,75.1448,12
Kalaburagi,Kalaburagi CEN Crime PS,17.31556,76.99548,12
Vijayanagara,Hampi Traffic PS,15.313,76.45282,11
Yadgir,Yadgiri CEN Crime PS,16.75331,77.06943,11
Coastal Security Police,Coastal Security Police Kumta,14.44078,74.30976,10
Shivamogga,Jog PS,14.21832,74.80162,9
Ballari,Gadiganur PS,15.176,76.59859,8
Mysuru Dist,Mysuru CEN Crime PS,12.28991,76.53119,7
Coastal Security Police,Coastal Security Police Hejamady,13.13885,74.75782,6
Coastal Security Police,Coastal Security Police Honnavar,14.24506,74.44661,4
Bengaluru City,West Women PS,12.66751,77.53575,3
Coastal Security Police,Coastal Security Police Belekeri,14.04275,74.01544,2
Coastal Security Police,Coastal Security Police Gangolli,13.78052,74.62931,2
Mysuru City,E and N Crime PS Mysuru City,12.30518,76.64787,2
CID,Cyber Crime Police Station CID,12.90937,77.63876,1
Coastal Security Police,Coastal Security Police Bhatkal,14.12762,74.48426,1
